customer,age_band,gender,income,policy_type,tenure_years,vehicle_type,response
DK49336,<30,Male,48029,Corporate Auto,14,A,No
KX64629,<30,Female,0,Personal Auto,14,A,No
LZ68649,<30,Male,22139,Personal Auto,14,A,No
XL78013,<30,Male,49078,Corporate Auto,14,A,Yes
QA50777,<30,Female,23675,Personal Auto,14,A,No
HO81102,<30,Male,50549,Personal Auto,14,A,No
IW72280,<30,Female,37405,Corporate Auto,14,A,No
IH64929,<30,Male,87197,Personal Auto,14,A,No
FM55990,<30,Male,66839,Personal Auto,14,A,Yes
QX31376,<30,Female,70961,Corporate Auto,14,A,No
HG93801,<30,Male,82730,Corporate Auto,14,A,No
GE63585,<30,Male,31710,Corporate Auto,14,A,No
EO51920,<30,Female,69096,Corporate Auto,14,A,No
KR82385,<30,Male,66334,Personal Auto,14,A,No
TL59568,<30,Male,0,Personal Auto,14,A,No
CW49887,<30,Female,79487,Special Auto,14,A,Yes
FH51383,<30,Female,76717,Personal Auto,14,A,No
TR26615,<30,Male,0,Corporate Auto,14,A,No
ZC97968,<30,Male,17533,Personal Auto,14,A,No
NJ54277,<30,Female,41479,Personal Auto,14,A,Yes
OM80593,<30,Female,0,Personal Auto,14,A,No
RL65736,<30,Female,13662,Personal Auto,14,A,No
EQ62488,<30,Female,59456,Personal Auto,14,A,No
NQ71171,<30,Male,70174,Personal Auto,14,A,No
YK32760,<30,Male,0,Corporate Auto,14,A,No
AY59197,<30,Male,27769,Special Auto,14,A,No
XF15789,<30,Female,81350,Personal Auto,14,A,No
MQ68407,<30,Female,63774,Personal Auto,14,A,Yes
CI99444,<30,Female,92381,Special Auto,14,A,No
BD70337,<30,Male,26307,Personal Auto,14,A,No
GX19342,<30,Female,0,Personal Auto,14,A,No
DP19210,<30,Female,23823,Corporate Auto,14,A,No
OJ63606,<30,Female,27510,Corporate Auto,14,A,No
OH23893,<30,Female,69588,Personal Auto,14,A,No
RI76930,<30,Female,43276,Personal Auto,14,A,No
YK26558,<30,Female,0,Special Auto,14,A,No
OE15005,<30,Male,28855,Personal Auto,14,A,No
RA17555,<30,Male,41533,Corporate Auto,14,A,No
ZI34278,<30,Female,21137,Personal Auto,14,A,No
XD72019,<30,Female,0,Personal Auto,14,A,No
RR93140,<30,Female,81565,Personal Auto,14,A,No
BE25221,<30,Male,20072,Corporate Auto,14,A,No
PV62583,<30,Male,22166,Personal Auto,14,A,No
BL12371,<30,Male,84551,Personal Auto,14,A,No
ER49844,<30,Male,61972,Personal Auto,14,A,No
RI22468,<30,Female,57740,Personal Auto,14,A,No
SY48591,<30,Female,0,Personal Auto,14,A,No
PR23514,<30,Male,60184,Personal Auto,14,A,No
UY32623,<30,Female,18213,Corporate Auto,14,A,No
QV30663,<30,Female,99654,Personal Auto,14,A,No
MS94619,<30,Female,76448,Personal Auto,14,A,No
FT56968,<30,Male,22398,Personal Auto,14,A,No
TX39594,<30,Female,51085,Personal Auto,14,A,No
GR42174,<30,Male,0,Personal Auto,14,A,No
XI79589,<30,Female,0,Personal Auto,14,A,No
XQ74827,<30,Female,38688,Special Auto,14,A,No
TW17878,<30,Female,52926,Personal Auto,14,A,No
GB43363,<30,Male,0,Personal Auto,14,A,No
BR69566,<30,Male,31739,Personal Auto,14,A,No
EP83939,<30,Male,91416,Personal Auto,14,A,No
IQ95180,<30,Male,44634,Personal Auto,14,A,No
JX52708,<30,Male,25617,Personal Auto,14,A,No
UF44021,<30,Male,0,Personal Auto,14,A,No
AV25133,<30,Female,0,Personal Auto,14,A,No
WL24392,<30,Male,94527,Personal Auto,14,A,No
LO57874,<30,Male,25905,Corporate Auto,14,A,Yes
UO54511,<30,Female,27400,Personal Auto,14,A,No
KR35099,<30,Male,60920,Personal Auto,14,A,Yes
NY12562,<30,Female,0,Corporate Auto,14,A,No
QG27547,<30,Female,23376,Personal Auto,14,A,Yes
PH78214,<30,Female,27677,Personal Auto,14,A,No
LO37570,<30,Male,40432,Personal Auto,14,A,No
FH81409,<30,Male,0,Personal Auto,14,A,No
RW65977,<30,Male,0,Special Auto,14,A,No
LD75023,<30,Male,48268,Personal Auto,14,A,No
OZ92426,<30,Male,46264,Corporate Auto,14,A,No
FI17798,<30,Male,0,Personal Auto,14,A,No
YC54142,<30,Male,0,Personal Auto,14,A,No
LN28900,<30,Male,0,Personal Auto,14,A,No
SX63814,<30,Male,75986,Personal Auto,14,A,No
VM85555,<30,Female,22668,Personal Auto,14,A,No
RO18530,<30,Male,42557,Personal Auto,14,A,No
FR48094,<30,Male,0,Personal Auto,14,A,No
DY27653,<30,Female,56178,Personal Auto,14,A,No
OH69760,<30,Female,0,Personal Auto,14,A,No
CH50584,<30,Male,71449,Personal Auto,14,A,No
WM19996,<30,Male,45428,Corporate Auto,14,A,No
ZH92587,<30,Female,14616,Personal Auto,14,A,No
CJ51511,<30,Female,11432,Corporate Auto,14,A,Yes
